req_id,domain,requirement_text,requirement_type,category,quality_label,is_ambiguous,is_duplicate,duplicate_group,is_testable,ambiguous_terms,word_count,notes
REQ-00001,Online Bookstore,The system shall allow users to register using an email address and a password.,Functional,authentication,well-formed,0,0,,1,,14,
REQ-00002,Online Bookstore,The system shall allow users to register using a mobile number verified through a one-time password.,Functional,authentication,well-formed,0,0,,1,,16,
REQ-00003,Online Bookstore,The system shall allow users to log in using valid credentials.,Functional,authentication,well-formed,0,0,,1,,11,
REQ-00004,Online Bookstore,The system shall lock a user account after five consecutive failed login attempts.,Functional,authentication,well-formed,0,0,,1,,13,
REQ-00005,Online Bookstore,The system shall allow users to reset a forgotten password through a secure email link.,Functional,authentication,well-formed,0,0,,1,,15,
REQ-00006,Online Bookstore,The system shall allow users to enable two-factor authentication for their account.,Functional,authentication,well-formed,0,0,,1,,12,
REQ-00007,Online Bookstore,The system shall allow users to update their profile information.,Functional,profile,well-formed,0,0,,1,,10,
REQ-00008,Online Bookstore,The system shall allow users to upload a profile photograph of up to 2 MB.,Functional,profile,well-formed,0,0,,1,,15,
REQ-00009,Online Bookstore,The system shall allow users to deactivate their own account.,Functional,profile,well-formed,0,0,,1,,10,
REQ-00010,Online Bookstore,The system shall allow users to view their activity history for the last ninety days.,Functional,profile,well-formed,0,0,,1,,15,
REQ-00011,Online Bookstore,The system shall allow administrators to assign roles and permissions to a user account.,Functional,authorization,well-formed,0,0,,1,,14,
REQ-00012,Online Bookstore,The system shall log the user out automatically after fifteen minutes of inactivity.,Functional,authentication,well-formed,0,0,,1,,13,
REQ-00013,Online Bookstore,The system shall allow customers to pay for a order using a credit or debit card.,Functional,payment,well-formed,0,0,,1,,16,
REQ-00014,Online Bookstore,The system shall allow customers to pay for a order using a UPI transaction.,Functional,payment,well-formed,0,0,,1,,14,
REQ-00015,Online Bookstore,The system shall generate a printable invoice for every completed order.,Functional,payment,well-formed,0,0,,1,,11,
REQ-00016,Online Bookstore,The system shall allow customers to request a refund for a cancelled order.,Functional,payment,well-formed,0,0,,1,,13,
REQ-00017,Online Bookstore,The system shall allow administrators to apply a discount to a order before payment.,Functional,payment,well-formed,0,0,,1,,14,
REQ-00018,Online Bookstore,The system shall display the total payable amount including taxes before payment is confirmed.,Functional,payment,well-formed,0,0,,1,,14,
REQ-00019,Online Bookstore,The system shall allow customers to view the payment history of all past orders.,Functional,payment,well-formed,0,0,,1,,14,
REQ-00020,Online Bookstore,The system shall mark a order as failed if the payment gateway returns an error.,Functional,payment,well-formed,0,0,,1,,15,
REQ-00021,Online Bookstore,The system shall allow customers to create a new shopping cart item.,Functional,create,well-formed,0,0,,1,,12,
